split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
dev2,65,0.5264,0.0869,0.6064,0.0000,0.3672,0.3350,1.9256,0.2500,0
dev2,66,0.4117,0.1247,0.5363,0.0000,0.2360,0.3615,2.6712,0.2517,0
dev2,67,0.9240,0.3937,1.3163,0.0000,0.1334,1.1859,2.5368,0.7949,0
dev2,68,1.0210,0.3050,0.7232,0.0000,0.2941,0.9976,1.2192,1.3005,0
dev2,69,0.5417,0.5724,0.3106,0.0000,0.2648,0.1198,-0.3791,0.4556,0
dev2,70,0.4960,0.1308,0.3964,0.0000,0.2484,0.1879,1.2829,0.3151,0
dev2,71,0.7145,0.0949,0.6258,0.0000,0.2546,0.4194,1.6387,0.4967,0
dev2,72,1.3825,1.0158,2.3979,0.0000,0.0447,2.3776,2.6792,1.3618,0
dev2,73,0.8430,0.0593,0.8889,0.0000,0.0300,0.8884,1.7267,0.8438,0
dev2,74,1.3688,0.5276,1.8803,0.0000,0.1360,1.9571,2.1637,1.4378,0
dev2,75,1.4019,0.4694,0.9439,0.0000,0.1992,0.8645,0.9270,1.3332,0
dev2,76,0.9553,0.1245,1.0788,0.0000,0.2506,0.8521,1.9351,0.7316,0
dev2,77,0.4635,0.3541,0.8159,0.0000,0.3306,1.1457,2.0603,0.7940,0
dev2,78,410.3009,411.2229,0.9228,0.0000,0.7071,0.2757,0.7034,410.9976,0
dev2,79,1.2525,0.2981,0.9596,0.0000,0.2921,0.7126,1.1366,1.0106,0
dev2,80,0.6605,0.3413,0.8652,0.0000,0.4243,0.6964,2.6162,0.3756,0
dev2,81,1.1478,0.2835,0.8700,0.0000,0.1700,0.8532,1.3924,1.1173,0
dev2,82,1.2426,0.2195,1.4400,0.0000,0.3601,1.3843,1.8659,1.1683,0
dev2,83,1.0804,0.3496,0.7321,0.0000,0.4000,0.3321,1.0085,0.6808,0
dev2,84,1.0747,0.2720,1.3069,0.0000,0.3600,1.2563,2.0125,0.9920,0
dev2,85,0.9885,0.0833,0.9877,0.0000,0.1513,1.1375,1.3275,1.1361,0
dev2,86,0.6125,0.2521,0.3617,0.0000,0.1414,0.5011,1.0364,0.7528,0
dev2,87,0.8946,0.6787,0.2399,0.0000,0.3102,0.5032,0.7135,1.1816,0
dev2,88,0.6558,0.5673,0.1180,0.0000,0.2789,0.3649,0.7534,0.9296,0
dev2,89,1.0592,1.1919,2.1925,0.0000,0.3716,2.0160,4.1157,0.8292,0
dev2,90,0.4853,0.1939,0.6791,0.0000,0.3202,0.9990,1.8956,0.8051,0
dev2,91,1.4447,1.5371,0.1592,0.0000,0.2081,0.2746,-0.3414,1.2630,0
dev2,92,1.0758,0.1116,0.9774,0.0000,0.2508,0.7271,1.4357,0.8270,0
dev2,93,0.6361,0.0857,0.6655,0.0000,0.1746,0.7160,2.0724,0.6673,0
dev2,94,0.3784,0.2434,0.2211,0.0000,0.2110,0.0891,0.3158,0.3324,0
dev2,95,0.4788,0.0482,0.4308,0.0000,0.2642,0.2342,1.1486,0.2738,0
dev2,96,0.7191,0.2120,0.5270,0.0000,0.0000,0.5270,1.0833,0.7191,0
dev2,97,0.8448,2.5495,1.7199,0.0000,0.0000,1.7199,-4.5637,0.8448,0
dev2,98,0.6949,0.0850,0.7797,0.0000,0.2823,0.5119,1.6772,0.4273,0
dev2,99,0.8305,0.3678,1.1919,0.0000,0.1789,1.2611,2.6038,0.8934,0
dev2,100,0.9994,23.4784,24.3273,0.0000,0.3962,24.2542,50.3856,0.7891,1
dev2,101,0.2740,0.1060,0.1786,0.0000,0.1432,0.1408,1.4755,0.2435,0
dev2,102,0.9517,0.4818,0.4707,0.0000,0.0849,0.4068,0.8564,0.8885,0
dev2,103,0.5033,0.0379,0.4881,0.0000,0.1077,0.4377,1.3500,0.4597,0
dev2,104,0.8280,0.9779,1.7977,0.0000,0.3785,2.1659,2.6584,1.1896,0
dev2,105,0.7812,0.1676,0.6142,0.0000,0.3847,0.5425,1.6656,0.6738,0
dev2,106,1.1865,0.1180,1.0696,0.0000,0.2309,0.8394,1.4201,0.9560,0
dev2,107,0.3320,0.1607,0.4859,0.0000,0.0922,0.4208,1.7856,0.2613,0
dev2,108,0.4890,0.0996,0.4357,0.0000,0.2154,0.2283,1.0764,0.2996,0
dev2,109,1.1554,0.1158,1.1198,0.0000,0.1140,1.0844,1.6625,1.1093,0
dev2,110,0.1542,0.1310,0.2264,0.0000,0.3231,0.1081,0.8393,0.2383,0
dev2,111,0.8628,1.0230,0.4817,0.0000,0.4111,0.2828,-0.5754,0.7403,0
dev2,112,0.2150,0.2105,0.0416,0.0000,0.2040,0.1888,0.7128,0.3953,0
dev2,113,0.3225,0.0759,0.2484,0.0000,0.2778,0.2040,2.1621,0.2496,0
dev2,114,0.6975,0.0429,0.7145,0.0000,0.4118,1.0460,1.2376,1.0183,0
dev2,115,0.3753,0.1046,0.4552,0.0000,0.0640,0.4924,2.0665,0.4046,0
dev2,116,81.7148,81.5398,0.3556,0.0000,0.2138,0.5633,0.7356,81.7608,0
dev2,117,1.1236,0.2929,0.8309,0.0000,0.0400,0.8300,0.9859,1.1228,0
dev2,118,1.9054,0.8013,1.1047,0.0000,0.4144,0.6930,0.8005,1.4944,0
dev2,119,0.9195,0.4235,0.4962,0.0000,0.1204,0.3997,0.8231,0.8216,0
dev2,120,1.6403,0.4131,2.0513,0.0000,0.3053,1.7851,1.9589,1.3795,0
dev2,121,282.1846,281.8677,1.4025,0.0000,0.3945,1.0482,1.1160,281.9559,0
dev2,122,1.0578,0.1558,0.9027,0.0000,0.3225,0.6085,1.2177,0.7591,0
dev2,123,0.2336,0.1021,0.1981,0.0000,0.1924,0.1917,2.0414,0.1276,0
dev2,124,1.4888,0.6006,2.0768,0.0000,0.2617,1.8166,2.1414,1.2272,0
dev2,125,18.0160,18.0201,0.1300,0.0000,0.1985,0.1506,1.6743,17.8695,0
dev2,126,1.3308,0.5847,1.8800,0.0000,0.2600,1.8619,2.2457,1.2872,0
dev2,127,1.0603,0.1662,1.2192,0.0000,0.2961,0.9277,2.0620,0.7721,0
dev2,128,0.8336,0.1547,0.9201,0.0000,0.1649,0.8660,1.6579,0.7580,0
dev2,129,0.6211,0.0082,0.6267,0.0000,0.3941,0.3088,2.0521,0.3071,0
dev2,130,0.5407,0.0933,0.4476,0.0000,0.1900,0.6376,1.2440,0.7307,0
dev2,131,0.1400,0.0438,0.1748,0.0000,0.4243,0.5842,2.0886,0.5416,0
dev2,132,0.8597,0.5498,0.3101,0.0000,0.0806,0.3421,0.6584,0.8883,0
dev2,133,0.7203,0.1701,0.8881,0.0000,0.3200,0.8284,1.8881,0.6635,0
dev2,134,0.0880,0.0295,0.1016,0.0000,0.2417,0.2022,2.1467,0.1826,0
dev2,135,1.1142,0.8162,0.3011,0.0000,0.0000,0.3011,0.5691,1.1142,0
dev2,136,0.6314,0.0422,0.5976,0.0000,0.2983,0.7415,1.4633,0.7823,0
dev2,137,0.1258,0.3459,0.4115,1.0000,0.4111,0.1796,0.6682,0.5179,0
dev2,138,1.1248,0.3566,1.4811,0.0000,0.1253,1.5370,1.9777,1.1807,0
dev2,139,0.1486,0.2296,0.3137,0.0000,0.2267,0.4455,2.2495,0.2163,0
dev2,140,0.7906,0.7374,0.1278,0.0000,0.2332,0.1561,-0.3782,0.5813,0
